"Product URL","Product Name","Product Rating","Number Of Reviews","Product Price"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjI0ODM5MTQxNzIxMjc1OjE2NzkzMjUzMTU6c3BfYXRmX25leHQ6MjAxMjg3ODg3OTE1OTg6OjA6Og&url=%2FUrban-Tribe-Backpack-Trans4mer-v2-0%2Fdp%2FB075RYR3Z4%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325315%26sprefix%3Dba%252Caps%25252%26sr%3D8-225-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","Urban Tribe Transformer 2.0 Multipurpose 15.6 Inch| Water Repellent |20 litres | Laptop Backpack for Men and Women (Navy Blue)","3.8 out of 5 stars","(138)","₹2,299"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MjI0ODM5MTQxNzIxMjc1OjE2NzkzMjUzMTU6c3BfYXRmX25leHQ6MjAwNTQzOTkyNDI4MDI6OjA6Og&url=%2FFunk-Hire-Leatherette-Backpack-Shoulder%2Fdp%2FB08XJW8M18%2Fref%3Dsr_1_226_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325315%26sprefix%3Dba%252Caps%25252%26sr%3D8-226-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","Funk For Hire Leatherette Printed 2 in 1 Backpack Shoulder Bag Handbag fit up to 15.6"" Laptop","4.2 out of 5 stars","(160)","₹2,242"
"https://www.amazon.in/Wildcraft-Laptop-Trident-XL-2_Black/dp/B019DWD8SQ/ref=sr_1_227?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sprefix=ba%2Caps%252&sr=8-227","wildcraft Nylon 40 ltrs Black Laptop Bag (Trident XL 2_Black)","4.4 out of 5 stars","(564)","₹2,999"
"https://www.amazon.in/Skybags-New-Neon-Backpack-Purple/dp/B07SRHCF9R/ref=sr_1_228_mod_primary_new?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%252&sr=8-228","Skybags New Neon 30 L Backpack (Purple)","4.3 out of 5 stars","(100)","₹999"
"https://www.amazon.in/Hoteon-Backpack-Anti-Theft-Earphone-Resistant/dp/B08HM4TQZZ/ref=sr_1_229?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sprefix=ba%2Caps%252&sr=8-229","Golden Wolf Laptop Bag Anti-theft Backpack with Lock College School Laptop Backpack with Rain Cover Water Resistant Business Backpack with USB Port for 15.6-inch Laptop 25 L Travel Bag for Men, Dark Grey","4.4 out of 5 stars","(3,251)","₹1,946"
"https://www.amazon.in/Arctic-Fox-Masai-Laptop-Backpack/dp/B0BWNJNZX4/ref=sr_1_230?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sprefix=ba%2Caps%252&sr=8-230","Arctic Fox Masai Black 15.5 Inch Laptop Backpack","","M.R.P:","₹1,919"
"https://www.amazon.in/uppercase-Professional-Anti-theft-resistant-sustainable/dp/B0BSH4H4DB/ref=sr_1_231?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sprefix=ba%2Caps%252&sr=8-231","uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","4.2 out of 5 stars","(12)","₹2,300"
"https://www.amazon.in/HP-Backpack-Laptop-Chromebook-1D0M5PA/dp/B08FM6X8KZ/ref=sr_1_232?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sprefix=ba%2Caps%252&sr=8-232","HP 5 ltrs (2 cms)backpack(1D0M5PA_black)","4.2 out of 5 stars","(923)","₹1,219"
"https://www.amazon.in/Aristocrat-Unisex-Oxford-Fabric-28-82L/dp/B09ZV86P4S/ref=sr_1_233?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sprefix=ba%2Caps%252&sr=8-233","Aristocrat Unisex Black Oxford Fabric 28.82L Laptop Bags","3.4 out of 5 stars","(43)","₹758"
"https://www.amazon.in/Pinklips-Shopping-Blackpink-Laptop-Backpack/dp/B0B7DL5GMY/ref=sr_1_234?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325315&sprefix=ba%2Caps%252&sr=8-234","Pinklips Shopping Blackpink Theme Fan Art Laptop Bag Casual School Backpack (COMBO OF 3-SIZE BAGS) - PINKBAGS_777","4.2 out of 5 stars","(22)","₹1,399"
