"Product URL","Product Price","Product Name","Product Rating","Number Of Reviews"
"https://aax-eu.amazon.in/x/c/RMseTObmwr-SY61S7wSuoPsAAAGG_5E1aAMAAAH2AQBvbm9fdHhuX2JpZDIgICBOL0EgICAgICAgICAgICBBERQ6/https://www.amazon.in/stores/page/F4E8FDB9-E442-4B69-A1B0-8FC33FF250FF/?_encoding=UTF8&store_ref=SB_A1038196I5ENYHFR3TFO&pd_rd_plhdr=t&aaxitk=1f3c9b6917cb713719dcbeb8ca182b5c&hsa_cr_id=1508324240202&lp_asins=B07XXFB9CZ%2CB07ZC77WTW%2CB08PD15TXH&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_mcd_bkgd&pd_rd_w=DxGH1&content-id=amzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5%3Aamzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_p=8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_r=FWQJQ2K2TDD66AK8ZYV4&pd_rd_wg=34Mye&pd_rd_r=8f458fda-eda5-4d2c-9fc6-e2a5e4034799","₹384.00","","",""
"","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTM4NzM0OTE4NTcxMzgyOjE2NzkzMjQ5NTE6c3BfYXRmX25leHQ6MjAxMTQ0MTQyMjk1OTg6OjA6Og&url=%2FEUME-Laptop-Backpack-Resistance-Charging%2Fdp%2FB07G13KHJ9%2Fref%3Dsr_1_97_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324951%26sprefix%3Dba%252Caps%25252%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","₹2,199","EUME Iris 23 LTR Laptop Backpack for 14 inch Laptop - Blue Series","4.2 out of 5 stars","(140)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNTM4NzM0OTE4NTcxMzgyOjE2NzkzMjQ5NTE6c3BfYXRmX25leHQ6MjAxMTQ0MTQyMjk3OTg6OjA6Og&url=%2FEUME-Virgo-29Ltr-Laptop-Backpack%2Fdp%2FB08R58K6QX%2Fref%3Dsr_1_98_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324951%26sprefix%3Dba%252Caps%25252%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DAPBFC7AMQ4Q38","₹1,299","EUME Virgo 29L Laptop Backpack for Office & Travel | Water Resistance | Fit Up to 15.6-inch Laptop","4.1 out of 5 stars","(498)"
"https://www.amazon.in/Li-Ning-Raider-Double-Polyester-Badminton/dp/B09VDQRFRV/ref=sr_1_99_mod_primary_new?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324951&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%252&sr=8-99","₹1,499","Li-Ning Raider Max Double Zipper Polyester Badminton Kit Bag (Blue)","4.4 out of 5 stars","(375)"
"https://www.amazon.in/Safari-Black-Casual-Backpack-PRISMA19CBBLK/dp/B07HN5TMQL/ref=sr_1_100?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324951&sprefix=ba%2Caps%252&sr=8-100","₹899","Safari Prisma 32 Ltrs Black Casual Backpack (PRISMA19CBBLK)","3.9 out of 5 stars","(845)"
"https://www.amazon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57/ref=sr_1_101?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324951&sprefix=ba%2Caps%252&sr=8-101","₹299","DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black","3.8 out of 5 stars","(2,290)"
"https://www.amazon.in/Wesley-briefcase-professional-Briefcase-messenger/dp/B0BJVDN7VT/ref=sr_1_102?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324951&sprefix=ba%2Caps%252&sr=8-102","₹471","Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men (Charcoal Black)","4.0 out of 5 stars","(1,173)"
"https://www.amazon.in/SBCOLLECTION-Premium-Backpack-Water-Resistance-Business/dp/B0BXL5B1J4/ref=sr_1_103?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324951&sprefix=ba%2Caps%252&sr=8-103","₹229","SBCOLLECTION Premium School College Office Laptop Daily Use Backpack for All Day Traveler","4.5 out of 5 stars","(3)"
"https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_104?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324951&sprefix=ba%2Caps%252&sr=8-104","₹1,030","Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy","4.4 out of 5 stars","(3,132)"
