"Product URL","Product Name","Product Rating","Number Of Reviews","Product Price"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQyNTgzMDEwMjE0NzI1OjE2NzkzMjU0NTc6c3BfYXRmX25leHQ6MjAwMzY2NTUwNjYyMDQ6OjA6Og&url=%2FFATMUG-Laptop-Bag-Men-Convertible%2Fdp%2FB084LFX8ZZ%2Fref%3Dsr_1_289_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325457%26sprefix%3Dba%252Caps%25252%26sr%3D8-289-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Light Grey Oxford Fabric)","4.4 out of 5 stars","(1,679)","₹1,499"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjQyNTgzMDEwMjE0NzI1OjE2NzkzMjU0NTc6c3BfYXRmX25leHQ6MjAxMjg3Nzk1OTYwOTg6OjA6Og&url=%2FURBAN-TRIBE-Move-Backpack-Repellent%2Fdp%2FB0BP1NSKH4%2Fref%3Dsr_1_290_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325457%26sprefix%3Dba%252Caps%25252%26sr%3D8-290-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS","URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack","3.3 out of 5 stars","(18)","₹799"
"https://www.amazon.in/Tabelito%C2%AE-VOLT-waterproof-Backpack-Compatible/dp/B0BML7Q3J1/ref=sr_1_291?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-291","Tabelito® VOLT Casual waterproof Laptop Backpack/Office bag/School bag/College bag/Business bag/Unisex bag Travel bag Compatible with 15.6 inch Laptop 30L Bag for Men and Women - GREY","4.8 out of 5 stars","(78)","₹999"
"https://www.amazon.in/PUJI-Bag-overnight-weekender-Multicolor/dp/B0B3RTVM2J/ref=sr_1_292?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-292","PUJI Travel Duffel Bag, overnight shoulder Bag, weekender carry on for women, Women's travel bags Shoulder Weekender Overnight Bag for Women, sports Gym Bag, Sports Tote Gym Bag, workout duffel bag (SIMPLE BAG)( Multicolor )","3.8 out of 5 stars","(160)","₹559"
"https://www.amazon.in/QUDDY-Capacity-Cosmetic-Cosmetics-Organizer/dp/B0BVWH7FS5/ref=sr_1_293?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-293","QUDDY Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider, Wide Opening Cosmetic/Makeup Organizer Bags","","M.R.P:","₹799"
"https://www.amazon.in/Half-Moon-Resistant-Laptop-Backpack/dp/B09842K4RQ/ref=sr_1_289?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-289","Half Moon 35 L Casual Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School with Rain Cover (Black)","3.9 out of 5 stars","(300)","₹699"
"https://www.amazon.in/Storite-Leather-Laptop-Bag-inch/dp/B081GQJLD2/ref=sr_1_290?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-290","Storite PU Leather 14 inch Laptop Messenger Organizer Bag/Shoulder Sling Office Business Professional Travel Messenger Bag for Men & Women Notebook, Tablet Carrying Handbag (37x 27x7cm, Light Brown)","4.0 out of 5 stars","(1,564)","₹999"
"https://www.amazon.in/F-Gear-Bi-Frost-Executive-Backpack/dp/B071R75MH3/ref=sr_1_291?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-291","F Gear Bi Frost Executive 28 Liter Laptop Backpack (Brown)","4.4 out of 5 stars","(622)","₹830"
"https://www.amazon.in/BROGBUS-Business-Messenger-Sling-10-05inch/dp/B09QLD9GJY/ref=sr_1_292?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-292","BROGBUS pu Leather Men Bag Casual Business Messenger Bag for Cross body Bag Male Shoulder Bags PU Leather Sling Messenger Bag (Brown, L- 10.05inch H- 11.5inch W- 3inch)","4.1 out of 5 stars","(425)","₹939"
"https://www.amazon.in/Wildcraft-Streak-Laptop-Backpack-Black/dp/B07YYLL4MP/ref=sr_1_293?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325457&sprefix=ba%2Caps%252&sr=8-293","Wildcraft Streak 2.0 Plus Laptop Backpack 20L (Black)","4.1 out of 5 stars","M.R.P:","₹1,770"
