"Product URL","Product Name","Product Rating","Number Of Reviews","Product Price"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDg4NzA2NDgzNDA4MDc2OjE2NzkzMjUxNzU6c3BfYXRmX25leHQ6MjAxMTU0NjA2ODcwOTg6OjA6Og&url=%2FAmazon-Basics-Modern-Lightweight-Backpack%2Fdp%2FB09W4ZPP3D%2Fref%3Dsr_1_177_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325175%26sprefix%3Dba%252Caps%25252%26sr%3D8-177-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","Amazon Basics - Laptop Backpack/Casual Backpack/College Bag for 15.6-inch Laptop, Water-Resistant, Lightweight, Sleek and Modern Design","3.5 out of 5 stars","(5)","₹1,319"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDg4NzA2NDgzNDA4MDc2OjE2NzkzMjUxNzU6c3BfYXRmX25leHQ6MjAxMjkwMzU2MjQ3OTg6OjA6Og&url=%2FKevin-Laptop-Backpack-Resistance-Backpack%2Fdp%2FB07MYWB6DP%2Fref%3Dsr_1_178_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325175%26sprefix%3Dba%252Caps%25252%26sr%3D8-178-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","EUME Kevin 14 inch Nylon Laptop Backpack and 26 LTR Water Resistance Backpack","4.3 out of 5 stars","(75)","₹1,949"
"https://www.amazon.in/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD/ref=sr_1_179?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325175&sprefix=ba%2Caps%252&sr=8-179","LL LEATHER LAND DESIGNER BAGS Women Sling Bag","4.0 out of 5 stars","(1,625)","₹299"
"https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B09GG53CSL/ref=sr_1_180?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325175&sprefix=ba%2Caps%252&sr=8-180","Half Moon 34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey)","3.9 out of 5 stars","(1,217)","₹749"
"https://www.amazon.in/F-Gear-Tycoon-Laptop-Backpack/dp/B071XJ6XV5/ref=sr_1_181?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325175&sprefix=ba%2Caps%252&sr=8-181","F Gear Tycoon 27 Liters Laptop Backpack Sch Bag(Black)","4.4 out of 5 stars","(215)","₹1,168"
"https://www.amazon.in/Baggit-Womens-Satchel-Handbag-Green/dp/B098TJWT8K/ref=sr_1_182?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325175&sprefix=ba%2Caps%252&sr=8-182","Baggit Women's Sling Bag - S1 (Green)","4.0 out of 5 stars","(158)","₹679"
"https://www.amazon.in/gp/bestsellers/shoes/1983351031/ref=sr_bs_6_1983351031_1","Lavie Women's Broxa Flap Over Sling Bag | Ladies Purse Handbag","4.2 out of 5 stars","(5,675)","₹999"
"https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17227/dp/B075Y6SRMG/ref=sr_1_184?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325175&sprefix=ba%2Caps%252&sr=8-184","Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey","4.2 out of 5 stars","(54,719)","₹785"
"https://www.amazon.in/COSMUS-Polyester-Navy-Laptop-Backpack/dp/B01FVQLLU0/ref=sr_1_185?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325175&sprefix=ba%2Caps%252&sr=8-185","COSMUS Darwin Navy Blue Laptop Backpack for (15.6 inch)","4.3 out of 5 stars","(9,899)","₹1,231"
"https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_186?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325175&sprefix=ba%2Caps%252&sr=8-186","Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap","4.2 out of 5 stars","(715)","₹999"
