"Product URL","Product Rating","Product Name","Number Of Reviews","Product Price"
"https://aax-eu.amazon.in/x/c/RKlbVKTqQzFUhMaK2c7G6R8AAAGG_5GDOQMAAAH2AQBvbm9fdHhuX2JpZDIgICBOL0EgICAgICAgICAgICBn1RLv/https://www.amazon.in/stores/page/4C755070-F981-4F08-8522-F6C3D61206D0/?_encoding=UTF8&store_ref=SB_A03312461HYYMWN4RLRP4&pd_rd_plhdr=t&aaxitk=bbb5a11b4eecbdbe15a5b7d6142df1c8&hsa_cr_id=9902369590002&lp_asins=B07SG2HCN2%2CB01N6XGKFU%2CB074CFRDX4&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=QUkLC&content-id=amzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5%3Aamzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_p=8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_r=8A3KAM1A13TQ9BHB8W1H&pd_rd_wg=SPefz&pd_rd_r=d18af69e-7e27-457b-ae59-ace9d6b79d5c","4 out of 5 stars.","","",""
"","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDIyODcxNjUwOTcwNTMwOjE2NzkzMjQ5NzE6c3BfYXRmX25leHQ6MjAxMzAzNzA4NTc4OTg6OjA6Og&url=%2FHA-CREATION-Backpack-Multicolour-Collage%2Fdp%2FB0B2Q3MGC8%2Fref%3Dsr_1_113_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324971%26sprefix%3Dba%252Caps%25252%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","3.5 out of 5 stars","HA CREATION Heavy duty Large 45-L Backpack (Multicolour) Laptop Backpack Unisex Collage & School Bags","(59)","₹499"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NDIyODcxNjUwOTcwNTMwOjE2NzkzMjQ5NzE6c3BfYXRmX25leHQ6MjAxMTQ0MTQyMjkwOTg6OjA6Og&url=%2FEUME-Crystal-Laptop-Backpack-Resistance%2Fdp%2FB07GLTYX1C%2Fref%3Dsr_1_114_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324971%26sprefix%3Dba%252Caps%25252%26sr%3D8-114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","4.4 out of 5 stars","EUME Crystal 22 Liters 1 Large Compartment Laptop Backpacks Fit Up to 14-inch Laptop Anti-Theft Zipper Polyester Fabric College, Office, and Mini Business Trip Travel Bags - Grey","(206)","₹2,199"
"https://www.amazon.in/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9/ref=sr_1_115?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324971&sprefix=ba%2Caps%252&sr=8-115","3.7 out of 5 stars","DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years)","(3,003)","₹219"
"https://www.amazon.in/Anti-Theft-Backpack-Expandable-Water-resistant-Convertible/dp/B0B6FZ3YNV/ref=sr_1_116?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324971&sprefix=ba%2Caps%252&sr=8-116","4.4 out of 5 stars","Golden Wolf Backpack 35L Expandable Travel Backpack for Men and Women Anti-theft Laptop Bag with Lock Water-resistant Convertible Backpack with USB Port Travel Business College Bag for Men,Black","(36)","₹2,564"
"https://www.amazon.in/Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_117?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324971&sprefix=ba%2Caps%252&sr=8-117","4.3 out of 5 stars","Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)","(2,955)","₹999"
"https://www.amazon.in/gp/bestsellers/sports/3403740031/ref=sr_bs_5_3403740031_1","4.3 out of 5 stars","Li-Ning Panther Double Zipper Polyester Badminton Kit Bag","(314)","₹999"
"https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55/ref=sr_1_119?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324971&sprefix=ba%2Caps%252&sr=8-119","4.1 out of 5 stars","WILDHORN 31L Laptop Backpack for Men / Women I Fits upto 15.6"" Laptop I Waterproof I Travel / Business / College Bookbags","(948)","₹599"
"https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_120?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324971&sprefix=ba%2Caps%252&sr=8-120","4.5 out of 5 stars","motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue)","(2,331)","₹1,536"
