"Product URL","Product Name","Product Rating","Number Of Reviews","Product Price"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjUzMzA5NTQxMjAxMTI3OjE2NzkzMjUyMTE6c3BfYXRmX25leHQ6MjAxMDIyMjc5MjkzOTg6OjA6Og&url=%2Fuppercase-Backpack-2500EBP2-repellent-sustainable%2Fdp%2FB0BNVXG27V%2Fref%3Dsr_1_209_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325211%26sprefix%3Dba%252Caps%25252%26sr%3D8-209-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","uppercase Medium 21L Quilted Laptop Backpack 2500EBP2 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","4.7 out of 5 stars","(10)","₹1,400"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjUzMzA5NTQxMjAxMTI3OjE2NzkzMjUyMTE6c3BfYXRmX25leHQ6MjAwOTc2MTIyMzE2OTg6OjA6Og&url=%2Fuppercase-Backpack-1800EBP1-resistant-sustainable%2Fdp%2FB0B9T4YDPX%2Fref%3Dsr_1_210_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325211%26sprefix%3Dba%252Caps%25252%26sr%3D8-210-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","uppercase Laptop Backpack Printed Compact 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys & Girls(Pink)","4.2 out of 5 stars","(24)","₹1,200"
"https://www.amazon.in/PLAYY-BAGS-Backpack-College-Students/dp/B099N8JRVJ/ref=sr_1_211?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-211","PLAYY BAGS Large 35 L Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students(Navy Blue)","3.3 out of 5 stars","(111)","₹599"
"https://www.amazon.in/Dyazo-Laptop-Briefcase-Compatible-Ultrabook/dp/B08W68TB6K/ref=sr_1_212?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-212","Dyazo Unisex Sleek Light Laptop Notebook Shoulder Briefcase Bag for 11 Inch to 15.6 Inches Laptops Compatible for MacBook, Ultrabook, Dell, Lenovo, Compaq, Hp Computers and Other Laptops (Blue)","3.8 out of 5 stars","(619)","₹599"
"https://www.amazon.in/POLESTAR-backpack-Backpack-College-Students/dp/B08X2KRL8B/ref=sr_1_213?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-213","POLESTAR Leader 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty","4.1 out of 5 stars","(3,429)","₹599"
"https://www.amazon.in/Shoulder-Crossbody-Shockproof-Compartment-k00063-Black/dp/B09HV9QYFB/ref=sr_1_209?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-209","Arctic Hunter Mens Sling Bag,Mens Shoulder Bag,Crossbody Bag for Men,Chest Bag,Daypack,Shockproof Compartment for iPad,Suitable for College,Outdoor Travels and Business Daily Use for Men,Black","4.4 out of 5 stars","(330)","₹1,329"
"https://www.amazon.in/Wildcraft-CL2-laptop-bagpack-Black/dp/B00L14FKD6/ref=sr_1_210_mod_primary_new?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%252&sr=8-210","Wildcraft CL2 Laptop bagpack (Black)","4.1 out of 5 stars","(176)","₹1,585"
"https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7DTWLF/ref=sr_1_211?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-211","Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Dark Grey College Bag","4.2 out of 5 stars","(1,364)","₹1,181"
"https://www.amazon.in/Amazon-Brand-Solimo-Sling-Maroon/dp/B07S63LC4P/ref=sr_1_212?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-212","Amazon Brand - Solimo Sling Bag (Maroon)","3.9 out of 5 stars","(239)","₹219"
"https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK/ref=sr_1_213?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-213","Tabelito® Casual 15.6 Inch (39.6 cm) Water Repellent Laptop Backpack Office College School Business Travel Bag Suitable for Men Women Boys & Girls Capacity 25 Litre (Grey)","4.2 out of 5 stars","(1,597)","₹549"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjUzMzA5NTQxMjAxMTI3OjE2NzkzMjUyMTE6c3BfbXRmOjIwMTIyMTE4OTc5NTk4OjowOjo&url=%2FXporiva-Backpacks-Artificial-Backpack-Business%2Fdp%2FB0BVK3KMP8%2Fref%3Dsr_1_214_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325211%26sprefix%3Dba%252Caps%25252%26sr%3D8-214-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","Xporiva Bags & Backpacks Artificial Leather Laptop Backpack Bag, Laptop Bag, Collage Backpack, Travel Backpack, Business Backpack, Office Backpack, Leather Backpack, School Backpack","","M.R.P:","₹999"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjUzMzA5NTQxMjAxMTI3OjE2NzkzMjUyMTE6c3BfbXRmOjIwMDgwMjg4MjI2Mjk4OjowOjo&url=%2FClownfish-Transit-Resistant-Polyester-Backpack%2Fdp%2FB0BFL8KLKX%2Fref%3Dsr_1_215_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325211%26sprefix%3Dba%252Caps%25252%26sr%3D8-215-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","The Clownfish Transit 51 Litre Water Resistant Polyester Two Wheel Laptop Trolley Backpack (Grey- Size 57 Cm)","4.0 out of 5 stars","(6)","₹6,299"
"https://www.amazon.in/Polyester-Bagpack-Spacious-Shoulder-Travelling/dp/B0BLHBD7N6/ref=sr_1_216?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-216","Space Full School and Laptop Bag, Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping (Black Color, Pack Of 1)","5.0 out of 5 stars","(2)","₹399"
"https://www.amazon.in/Roop-Fashion-Drawstring-Multipurpose-Activities/dp/B0847L8W6N/ref=sr_1_217?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-217","Roop Fashion Plain Chain Drawstring Bag, Multipurpose Unisex Drawstring, Gym, Travel, Hiking, Camping, Summer Camp and More Outdoor Activities, Multicolor Bag","3.1 out of 5 stars","(50)","₹199"
"https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G/ref=sr_1_218?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-218","AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather","4.0 out of 5 stars","(998)","₹929"
"https://www.amazon.in/SAFARI-26-5-Laptop-Backpack-WANDERER19CBRED/dp/B07NSCCGBK/ref=sr_1_219?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-219","SAFARI 46 cms Red Laptop/Casual/School/College Backpack (WANDERER19CBRED)","4.3 out of 5 stars","(264)","₹1,149"
"https://www.amazon.in/American-Tourister-FS0-41-002/dp/B07S13B1HR/ref=sr_1_220?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-220","American Tourister Spin 49 cms Navy Laptop Backpack","4.2 out of 5 stars","(1,133)","₹1,699"
"https://www.amazon.in/Derben-Fabric-Leather-Laptop-Messenger/dp/B08TVL3MWJ/ref=sr_1_221?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-221","DERBEN CLOVE® 15.6 Men and Women Laptop, MacBook Shoulder Messenger Sling Office Bag - Grey","4.1 out of 5 stars","(131)","₹899"
"https://www.amazon.in/Gear-Bounce-Backpack-Grey-Orange-BKPBOUNCE0604/dp/B097KCLF5F/ref=sr_1_222?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-222","Gear Bounce 27 Ltrs Water Resistant School Bag/Backpack/College Bag for Men/Women-Grey Orange","3.6 out of 5 stars","(380)","₹629"
"https://www.amazon.in/Wildcraft-Laptop-Trident-XL-2_Black/dp/B019DWD8SQ/ref=sr_1_223?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325211&sprefix=ba%2Caps%252&sr=8-223","wildcraft Nylon 40 ltrs Black Laptop Bag (Trident XL 2_Black)","4.4 out of 5 stars","(564)","₹2,999"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjUzMzA5NTQxMjAxMTI3OjE2NzkzMjUyMTE6c3BfYnRmOjIwMTI5MjEyNzA0NDk4OjowOjo&url=%2FOBH-BAGS-Compartments-Polyester-Waterproof%2Fdp%2FB0BWV6KDQN%2Fref%3Dsr_1_224_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325211%26sprefix%3Dba%252Caps%25252%26sr%3D8-224-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","OBH BAGS 38L Large Laptop Backpack with 3 Compartments Polyester Trendy Waterproof Travel Backpack","","M.R.P:","₹499"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjUzMzA5NTQxMjAxMTI3OjE2NzkzMjUyMTE6c3BfYnRmOjIwMTMwODM3ODAxNjk4OjowOjo&url=%2FBACDA-Backpack-Business-Notebook-Black-01%2Fdp%2FB0BMVRVSG6%2Fref%3Dsr_1_225_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325211%26sprefix%3Dba%252Caps%25252%26sr%3D8-225-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","BACDA Laptop Backpack Laptop Bags Casual 38L Office School Travel Business Bag Backpack for Men Women Boys Girls Fits 15.6 Inch Laptop and Notebook (1017) (Black-01)","4.7 out of 5 stars","(10)","₹989"
