"Product URL","Product Name","Product Price","Product Rating","Number Of Reviews"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjgyNzY1OTEyNTYyODI4OjE2NzkzMjQ5Mjc6c3BfbXRmOjIwMTEzODMxMzMzMTk4OjowOjo&url=%2FHEROZ-Hammer-Durable-Travel-Laptop%2Fdp%2FB07MG3F91S%2Fref%3Dsr_1_91_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324927%26sprefix%3Dba%252Caps%25252%26sr%3D8-91-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Grey & Sea Green)","₹1,349","4.3 out of 5 stars","(7,730)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjgyNzY1OTEyNTYyODI4OjE2NzkzMjQ5Mjc6c3BfbXRmOjIwMTMxNjM3NzE5Mjk4OjowOjo&url=%2FZIPLOC-Polyester-Waterproof-Backpack-Business%2Fdp%2FB099FFLQ5Q%2Fref%3Dsr_1_92_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324927%26sprefix%3Dba%252Caps%25252%26sr%3D8-92-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","ZIPLOC Polyester 42 Liters Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack ( Black )","₹1,599","3.6 out of 5 stars","(10)"
"https://www.amazon.in/DZert-Polyester-Black-White-Backpack/dp/B07GXX2BP3/ref=sr_1_93?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sprefix=ba%2Caps%252&sr=8-93","DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Red Black","₹296","3.8 out of 5 stars","(2,290)"
"https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_94?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sprefix=ba%2Caps%252&sr=8-94","AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop","₹709","4.2 out of 5 stars","(431)"
"https://www.amazon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57/ref=sr_1_95?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sprefix=ba%2Caps%252&sr=8-95","DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black","₹299","3.8 out of 5 stars","(2,290)"
"https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07ZC77WTW/ref=sr_1_96?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sprefix=ba%2Caps%252&sr=8-96","SFANE Polyester 23 cms Navy Blue Gym Bag, Shoulder Bag, Sports Bag for Men & Women with Separate Shoes Compartment (Blue)","₹435","4.3 out of 5 stars","(3,161)"
"https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_97?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sprefix=ba%2Caps%252&sr=8-97","Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men and Women","₹1,399","4.2 out of 5 stars","(311)"
"https://www.amazon.in/Li-Ning-Raider-Double-Polyester-Badminton/dp/B09VDQRFRV/ref=sr_1_98_mod_primary_new?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%252&sr=8-98","Li-Ning Raider Max Double Zipper Polyester Badminton Kit Bag (Blue)","₹1,499","4.4 out of 5 stars","(375)"
"https://www.amazon.in/Half-Moon-Trekking-Bags-Compartment/dp/B08PSX1LN9/ref=sr_1_99?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sprefix=ba%2Caps%252&sr=8-99","Half Moon 45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover","₹1,299","4.1 out of 5 stars","(1,012)"
"https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758/ref=sr_1_100?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324927&sprefix=ba%2Caps%252&sr=8-100","Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack","₹1,075","4.3 out of 5 stars","(1,460)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjgyNzY1OTEyNTYyODI4OjE2NzkzMjQ5Mjc6c3BfYnRmOjIwMTI3NjgzODcyMzk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BXFDK5J2%2Fref%3Dsr_1_101_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324927%26sprefix%3Dba%252Caps%25252%26sr%3D8-101-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,400","4.7 out of 5 stars","(19)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NjgyNzY1OTEyNTYyODI4OjE2NzkzMjQ5Mjc6c3BfYnRmOjIwMTAzOTY5MjQ1NTk4OjowOjo&url=%2FVertical-Polyester-Backpack-8903496163575-33X16X47%2Fdp%2FB09FGH5JFP%2Fref%3Dsr_1_102_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324927%26sprefix%3Dba%252Caps%25252%26sr%3D8-102-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","The Vertical Unisex 25 Ltrs Laptop Backpack (Up to 14 Inch) With 2 Compartments","₹700","3.7 out of 5 stars","(22)"
"https://aax-eu.amazon.in/x/c/RPmeoZ38UpP_Th9Eon4d-bIAAAGG_5DVWgMAAAH2AQBvbm9fdHhuX2JpZDEgICBOL0EgICAgICAgICAgICBNOv06/https://www.amazon.in/dp/B08329R8BK?pd_rd_i=B08329R8BK&pf_rd_p=ae694cc5-132b-4ca2-a543-9d6ce458829e&pf_rd_r=ZEZYFM7266VR9DRJZPFW&pd_rd_wg=lZ0XS&pd_rd_w=RF944&pd_rd_r=a1232e14-6d50-408b-8b3c-f7297460d100","VISMIINTREND Fashion Vegan Leather Anti Theft Backpack Purse Bags for Women and Girls | Sling | Casual | Bagpack | College | Work Bag | Gifts for Women | Rakhi Gifts for Sisters | Bhabhi | Wife","₹1,329","4.3 out of 5 stars","(1,107)"
"https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=fGLWQ&content-id=amzn1.sym.6705d6dc-26d1-4cee-9638-634bef10528d:amzn1.sym.6705d6dc-26d1-4cee-9638-634bef10528d&pf_rd_p=6705d6dc-26d1-4cee-9638-634bef10528d&pf_rd_r=ZEZYFM7266VR9DRJZPFW&pd_rd_wg=lZ0XS&pd_rd_r=a1232e14-6d50-408b-8b3c-f7297460d100&qid=1679324927","","","","skybags"
"","","","",""
"https://aax-eu.amazon.in/x/c/RKw377t1TiGKdrrwFLsiOf0AAAGG_5DVqwMAAAH2AQBvbm9fdHhuX2JpZDIgICBOL0EgICAgICAgICAgICAwK4YA/https://www.amazon.in/stores/page/577E58EF-44EF-42C3-AA05-BD1C0193ACC0/?_encoding=UTF8&store_ref=SB_A09138173D9TZ2WIMTWBE&pd_rd_plhdr=t&aaxitk=5674740a4b10498b1295d027021f3670&hsa_cr_id=0&lp_asins=B07QHMKHWH%2CB07SRGQ2R4%2CB084VQLJL8&lp_query=bags&lp_slot=desktop-hsa-3psl&ref_=sbx_be_s_3psl_mbd_bkgd&pd_rd_w=bfnbk&content-id=amzn1.sym.3782b4d8-6773-4e66-8793-e7e6e9a9d8d2%3Aamzn1.sym.3782b4d8-6773-4e66-8793-e7e6e9a9d8d2&pf_rd_p=3782b4d8-6773-4e66-8793-e7e6e9a9d8d2&pf_rd_r=ZEZYFM7266VR9DRJZPFW&pd_rd_wg=zrj17&pd_rd_r=3f361537-15d2-4c3a-aa19-1bd7c4d995e9","","","",""
"","","","","or"
"","","","",""
