"Product URL","Product Rating","Product Name","Number Of Reviews","Product Price"
"https://aax-eu.amazon.in/x/c/RF0BL3c2G_JX-SNARKTZO_YAAAGG_423ogMAAAH2AQBvbm9fdHhuX2JpZDEgICBOL0EgICAgICAgICAgICBOUKXH/https://www.amazon.in/stores/page/4C755070-F981-4F08-8522-F6C3D61206D0/?_encoding=UTF8&store_ref=SB_A03312461HYYMWN4RLRP4&pd_rd_plhdr=t&aaxitk=bbb5a11b4eecbdbe15a5b7d6142df1c8&hsa_cr_id=9902369590002&lp_asins=B07SG2HCN2%2CB01N6XGKFU%2CB074CFRDX4&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_lsi4d_bkgd&pd_rd_w=9Gm7G&content-id=amzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5%3Aamzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_p=8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_r=AWD8WP6NGWXSWBTCCAB1&pd_rd_wg=Ylc8E&pd_rd_r=b69f3263-9803-49eb-acd1-4e9d51ed4112","4 out of 5 stars.","","",""
"","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTU1NDI3MjI1MjIyNzUwOjE2NzkzMjQ3MjM6c3BfYXRmX25leHQ6MjAxMTIwOTYzMTc1OTg6OjA6Og&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324723%26sprefix%3Dba%252Caps%25252%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","4.2 out of 5 stars","uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","(12)","₹2,300"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4OTU1NDI3MjI1MjIyNzUwOjE2NzkzMjQ3MjM6c3BfYXRmX25leHQ6MjAxMjU4OTk5MjA2OTg6OjA6Og&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BWNBQXDZ%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679324723%26sprefix%3Dba%252Caps%25252%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","4.9 out of 5 stars","uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","(17)","₹1,800"
"https://www.amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QM2GD/ref=sr_1_19?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324723&sprefix=ba%2Caps%252&sr=8-19","3.8 out of 5 stars","Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L","(85)","₹535"
"https://www.amazon.in/gp/bestsellers/luggage/2917442031/ref=sr_bs_3_2917442031_1","4.0 out of 5 stars","DEIN KLEIDER Men's Nylon Messenger Bag","(4,564)","₹349"
"https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_21?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324723&sprefix=ba%2Caps%252&sr=8-21","4.1 out of 5 stars","Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag","(1,044)","₹790"
"https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_22?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324723&sprefix=ba%2Caps%252&sr=8-22","4.0 out of 5 stars","ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey)","(31)","₹599"
"https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_23?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324723&sprefix=ba%2Caps%252&sr=8-23","4.4 out of 5 stars","Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown","(5,453)","₹1,075"
"https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7/ref=sr_1_24?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679324723&sprefix=ba%2Caps%252&sr=8-24","4.0 out of 5 stars","ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green)","(31)","₹599"
